Customer ID,frequency,monetary,recency,R_score,F_score,M_score,RFM_Score,RFM_Segment_Code,Segment
C10117,7,207.00302931775514,336,1,1,1,3,111,Lost
C10118,8,738.0668952811991,106,2,1,2,5,212,Lost
C10119,7,273.10317794759544,76,2,1,1,4,211,Lost
C10120,12,1139.4753613198816,15,5,4,4,13,544,Champions
C10121,6,343.3045958198596,43,3,1,1,5,311,Lost
C10122,8,530.9608012005731,168,1,1,1,3,111,Lost
C10123,12,1067.7386339750246,14,5,4,4,13,544,Champions
C10124,13,844.085316648334,57,3,4,3,10,343,Loyal
C10125,9,373.88824448029334,4,5,2,1,8,521,Potential Loyalists
C10126,15,1573.114220366524,24,4,5,5,14,455,Champions
C10127,15,1197.6812112012753,35,4,5,4,13,454,Champions
C10128,10,816.8901636303326,118,1,3,3,7,133,At Risk
C10129,15,1961.107133079925,8,5,5,5,15,555,Champions
C10130,12,2077.851607185612,93,2,4,5,11,245,At Risk
C10131,8,815.521383699788,71,2,1,3,6,213,Potential Loyalists
C10132,10,1528.4123969936154,13,5,3,5,13,535,Loyal
C10133,19,2011.2855912596779,35,4,5,5,14,455,Champions
C10134,8,671.6720220399524,34,4,1,2,7,412,Potential Loyalists
C10135,14,1738.4153572801288,67,2,5,5,12,255,At Risk
C10136,11,658.6806113075393,27,4,3,2,9,432,Loyal
C10137,8,790.1957077612916,24,4,1,3,8,413,Potential Loyalists
C10138,13,663.8592212213119,39,3,4,2,9,342,Loyal
C10139,8,614.6688856627568,80,2,1,2,5,212,Lost
C10140,11,387.6889382293113,79,2,3,1,6,231,Potential Loyalists
C10141,12,1170.1838079267877,55,3,4,4,11,344,Loyal
C10142,10,638.6287389073893,212,1,3,2,6,132,Potential Loyalists
C10143,6,553.8568265014593,10,5,1,1,7,511,Potential Loyalists
C10144,10,664.2142144748475,105,2,3,2,7,232,Potential Loyalists
C10145,8,486.1391129008481,14,5,2,1,8,521,Potential Loyalists
C10146,7,453.4195642430078,158,1,1,1,3,111,Lost
C10147,8,658.0987219865247,43,3,2,2,7,322,Potential Loyalists
C10148,10,835.3321907663968,14,5,3,3,11,533,Loyal
C10149,14,1071.6363358100064,21,4,5,4,13,454,Champions
C10150,16,1101.8168560810557,64,3,5,4,12,354,Loyal
C10151,8,533.8415009882383,51,3,2,1,6,321,Potential Loyalists
C10152,17,1684.6277124045125,9,5,5,5,15,555,Champions
C10153,13,2217.5945830058663,11,5,4,5,14,545,Champions
C10154,10,785.009637133392,6,5,3,3,11,533,Loyal
C10155,13,1300.5567568373,88,2,4,5,11,245,At Risk
C10156,9,1191.34755339876,22,4,2,4,10,424,Potential Loyalists
C10157,11,505.0750708086524,60,3,3,1,7,331,Loyal
C10158,7,332.79857600111785,78,2,1,1,4,211,Lost
C10159,10,555.8145197075646,4,5,3,1,9,531,Loyal
C10160,8,680.0300535971693,30,4,2,2,8,422,Potential Loyalists
C10161,16,1546.3116753027148,100,2,5,5,12,255,At Risk
C10162,9,811.2557912040322,4,5,2,3,10,523,Potential Loyalists
C10163,9,915.3085005993867,48,3,2,3,8,323,Promising
C10164,15,1190.4403356660368,20,4,5,4,13,454,Champions
C10165,13,1526.8071023271996,60,3,4,5,12,345,Loyal
C10166,15,1240.2090023823964,78,2,5,4,11,254,At Risk
C10167,16,1967.0821756139055,12,5,5,5,15,555,Champions
C10168,9,1001.211569022934,43,3,2,4,9,324,Promising
C10169,14,947.3565188001888,28,4,5,3,12,453,Loyal
C10170,12,1016.5380671744659,11,5,4,4,13,544,Champions
C10171,15,1168.2849424461303,9,5,5,4,14,554,Champions
C10172,9,1451.9655975059165,1,5,2,5,12,525,Potential Loyalists
C10173,4,237.06456795740897,185,1,1,1,3,111,Lost
C10174,16,1613.5057844891085,132,1,5,5,11,155,At Risk
C10175,8,437.3984588669191,90,2,2,1,5,221,Lost
C10176,11,770.1374705762017,54,3,3,3,9,333,Loyal
C10177,6,786.3314067842595,89,2,1,3,6,213,Potential Loyalists
C10178,4,445.30064344216953,396,1,1,1,3,111,Lost
C10179,10,1058.7138790941926,12,5,3,4,12,534,Loyal
C10180,10,947.2793681953071,51,3,3,3,9,333,Loyal
C10181,9,704.6245935706786,32,4,2,2,8,422,Potential Loyalists
C10182,8,1613.3368481957496,102,2,2,5,9,225,Loyal
C10183,7,439.36941944640114,223,1,1,1,3,111,Lost
C10184,11,681.1795221168722,38,3,3,2,8,332,Loyal
C10185,13,1185.7366025390588,91,2,4,4,10,244,At Risk
C10186,7,349.60235536376723,166,1,1,1,3,111,Lost
C10187,11,1068.6305825434897,9,5,3,4,12,534,Loyal
C10188,18,1364.4112444748612,14,5,5,5,15,555,Champions
C10189,7,456.9219694263563,155,1,1,1,3,111,Lost
C10190,17,1419.2744025634763,60,3,5,5,13,355,Loyal
C10191,7,358.2003852067262,200,1,1,1,3,111,Lost
C10192,13,969.174889597441,26,4,4,3,11,443,Loyal
C10193,13,1781.610714084014,131,1,4,5,10,145,At Risk
C10194,14,1035.2171528911026,55,3,5,4,12,354,Loyal
C10195,9,478.09967988222246,87,2,2,1,5,221,Lost
C10196,7,704.6008922102478,179,1,1,2,4,112,Lost
C10197,11,618.8850024913422,76,2,3,2,7,232,Potential Loyalists
C10198,12,1096.1411671072296,11,5,4,4,13,544,Champions
C10199,6,386.6757506358786,258,1,1,1,3,111,Lost
C10200,19,1471.1616486866444,10,5,5,5,15,555,Champions
C10201,9,589.6804416647949,86,2,2,2,6,222,Lost
C10202,12,869.867519356051,28,4,4,3,11,443,Loyal
C10203,10,1416.130161880984,37,3,3,5,11,335,Loyal
C10204,5,854.1330857514333,98,2,1,3,6,213,Potential Loyalists
C10205,9,963.7565671449955,74,2,2,3,7,223,Potential Loyalists
C10206,7,613.387980198765,242,1,1,2,4,112,Lost
C10207,8,554.9924571370145,49,3,2,1,6,321,Potential Loyalists
C10208,11,1515.1489289051108,103,2,3,5,10,235,At Risk
C10209,4,225.01842000503305,143,1,1,1,3,111,Lost
C10210,11,1590.194311566194,42,3,3,5,11,335,Loyal
C10211,10,1192.8372858462753,1,5,3,4,12,534,Loyal
C10212,12,910.4836467246301,1,5,4,3,12,543,Loyal
C10213,14,1381.6511065337909,73,2,5,5,12,255,At Risk
C10214,10,1123.0608989523726,19,4,3,4,11,434,Loyal
C10215,8,672.8449258719361,86,2,2,2,6,222,Lost
C10216,15,1743.3943958610382,115,1,5,5,11,155,At Risk
C10217,17,1259.8940467798884,32,4,5,4,13,454,Champions
C10218,10,1174.4590893449026,6,5,3,4,12,534,Loyal
C10219,12,1092.868566883797,58,3,4,4,11,344,Loyal
C10220,4,267.5028189402589,186,1,1,1,3,111,Lost
C10221,12,1231.5775775750237,74,2,4,4,10,244,At Risk
C10222,14,1284.8561767113172,55,3,5,5,13,355,Loyal
C10223,13,1070.830097767686,9,5,4,4,13,544,Champions
C10224,13,1039.4202086766193,24,4,4,4,12,444,Champions
C10225,10,774.5715633984356,46,3,3,3,9,333,Loyal
C10226,8,538.9124282953278,162,1,2,1,4,121,Lost
C10227,12,1302.5847760719114,54,3,4,5,12,345,Loyal
C10228,9,1651.6297134979295,61,3,2,5,10,325,Promising
C10229,9,839.8405609865094,59,3,2,3,8,323,Promising
C10230,10,1087.741174492673,28,4,3,4,11,434,Loyal
C10231,14,1033.6101301030492,2,5,5,4,14,554,Champions
C10232,13,1027.2802040672866,30,4,4,4,12,444,Champions
C10233,10,791.1871232065807,62,3,3,3,9,333,Loyal
C10234,10,709.8637314645265,26,4,3,2,9,432,Loyal
C10235,12,609.1376357638192,76,2,4,2,8,242,Potential Loyalists
C10236,13,1112.2416920017129,30,4,4,4,12,444,Champions
C10237,11,1059.0278951783375,35,4,3,4,11,434,Loyal
C10238,11,1083.643946637594,44,3,3,4,10,334,Loyal
C10239,7,413.6722015877549,99,2,1,1,4,211,Lost
C10240,8,503.10951317297804,9,5,2,1,8,521,Potential Loyalists
C10241,9,541.3647419272197,49,3,2,1,6,321,Potential Loyalists
C10242,8,528.347074814146,20,4,2,1,7,421,Potential Loyalists
C10243,15,1294.5581535113379,82,2,5,5,12,255,At Risk
C10244,8,1229.562892677397,139,1,2,4,7,124,Potential Loyalists
C10245,8,716.5284091488885,56,3,2,2,7,322,Potential Loyalists
C10246,7,1372.7952860246075,98,2,1,5,8,215,Potential Loyalists
C10247,13,1205.1170137502618,22,4,4,4,12,444,Champions
C10248,9,1395.8244451175572,74,2,2,5,9,225,Loyal
C10249,11,563.9512199838197,20,4,3,2,9,432,Loyal
C10250,12,1367.2071063495844,78,2,4,5,11,245,At Risk
C10251,10,977.7995828571256,78,2,3,3,8,233,At Risk
C10252,17,1368.796202733569,45,3,5,5,13,355,Loyal
C10253,9,1207.069849474347,10,5,2,4,11,524,Potential Loyalists
C10254,4,408.0486548499608,208,1,1,1,3,111,Lost
C10255,10,851.5735727226713,66,3,3,3,9,333,Loyal
C10256,7,673.5163573104488,24,4,1,2,7,412,Potential Loyalists
C10257,9,915.0570015022283,23,4,2,3,9,423,Potential Loyalists
C10258,11,1145.1507189975182,97,2,3,4,9,234,At Risk
C10259,14,1259.5902730259584,133,1,5,4,10,154,At Risk
C10260,7,1709.1073365171633,186,1,1,5,7,115,Potential Loyalists
C10261,5,770.9258062229918,47,3,1,3,7,313,Promising
C10262,12,931.5154272616908,53,3,4,3,10,343,Loyal
C10263,15,1371.7318145294341,40,3,5,5,13,355,Loyal
C10264,12,612.1009276498114,4,5,4,2,11,542,Loyal
C10265,10,981.1431613182205,193,1,3,3,7,133,At Risk
C10266,6,415.1093062642768,7,5,1,1,7,511,Potential Loyalists
C10267,6,476.05408861695065,145,1,1,1,3,111,Lost
C10268,12,1056.82273835098,110,2,4,4,10,244,At Risk
C10269,12,1281.7755298812478,46,3,4,5,12,345,Loyal
C10270,8,561.5284507321977,37,3,2,2,7,322,Potential Loyalists
C10271,14,1793.061631027656,90,2,5,5,12,255,At Risk
C10272,14,928.4833925236254,66,3,5,3,11,353,Loyal
C10273,12,906.1524629098798,226,1,4,3,8,143,At Risk
C10274,9,737.7230480587866,41,3,2,2,7,322,Potential Loyalists
C10275,9,1342.773214224703,13,5,2,5,12,525,Potential Loyalists
C10276,7,386.3884445862678,139,1,1,1,3,111,Lost
C10277,8,734.9767488915422,14,5,2,2,9,522,Potential Loyalists
C10278,8,1303.3353768334346,32,4,2,5,11,425,Potential Loyalists
C10279,7,508.3187388061379,34,4,1,1,6,411,Potential Loyalists
C10280,16,1098.8388184371258,50,3,5,4,12,354,Loyal
C10281,17,1786.891302188565,45,3,5,5,13,355,Loyal
C10282,16,1422.7918929858106,15,5,5,5,15,555,Champions
C10283,6,475.9441580252157,114,1,1,1,3,111,Lost
C10284,12,1357.665743168136,61,3,4,5,12,345,Loyal
C10285,4,319.16771883775516,438,1,1,1,3,111,Lost
C10286,7,562.2970773004853,91,2,1,2,5,212,Lost
C10287,12,1042.7091720251274,12,5,4,4,13,544,Champions
C10288,13,810.9802861318587,9,5,4,3,12,543,Loyal
C10289,8,724.2458294467433,22,4,2,2,8,422,Potential Loyalists
C10290,8,447.27781562472506,281,1,2,1,4,121,Lost
C10291,11,854.4377538857655,18,4,3,3,10,433,Loyal
C10292,12,899.6336070922431,151,1,4,3,8,143,At Risk
C10293,11,1165.1092448186257,48,3,3,4,10,334,Loyal
C10294,18,984.0238880992152,7,5,5,3,13,553,Loyal
C10295,6,909.911314332422,224,1,1,3,5,113,Lost
C10296,7,573.2692127127629,344,1,1,2,4,112,Lost
C10297,12,934.4875170059995,116,1,4,3,8,143,At Risk
C10298,7,425.9977443440516,138,1,1,1,3,111,Lost
C10299,7,657.8290158273688,10,5,1,2,8,512,Potential Loyalists
C10300,6,745.8284501937892,47,3,1,2,6,312,Potential Loyalists
C10301,10,869.4956455886654,110,2,3,3,8,233,At Risk
C10302,14,881.912357517266,40,3,5,3,11,353,Loyal
C10303,12,909.8333849244921,19,4,4,3,11,443,Loyal
C10304,15,799.9390831429333,69,2,5,3,10,253,At Risk
C10305,7,421.9725791169949,10,5,1,1,7,511,Potential Loyalists
C10306,13,1767.5552065845318,23,4,4,5,13,445,Champions
C10307,9,1140.247527616491,87,2,2,4,8,224,Potential Loyalists
C10308,7,698.2651097182944,147,1,1,2,4,112,Lost
C10309,9,529.7396734244284,20,4,2,1,7,421,Potential Loyalists
C10310,10,1001.8541599601837,108,2,3,4,9,234,At Risk
C10311,12,1063.8244581641086,117,1,4,4,9,144,At Risk
C10312,8,483.502435478223,50,3,2,1,6,321,Potential Loyalists
C10313,15,1208.7362694285127,85,2,5,4,11,254,At Risk
C10314,9,969.0441825993985,73,2,2,3,7,223,Potential Loyalists
C10315,16,2099.4201521376594,12,5,5,5,15,555,Champions
C10316,9,788.8765878902385,57,3,2,3,8,323,Promising
C10317,13,916.6052944675143,71,2,4,3,9,243,At Risk
C10318,14,1239.7612799815242,52,3,5,4,12,354,Loyal
C10319,7,429.41934371220424,81,2,1,1,4,211,Lost
C10320,9,632.1733163327199,24,4,2,2,8,422,Potential Loyalists
C10321,5,590.7121314994394,35,4,1,2,7,412,Potential Loyalists
C10322,8,492.0854530632915,23,4,2,1,7,421,Potential Loyalists
C10323,11,1022.5998574697505,84,2,3,4,9,234,At Risk
C10324,8,379.82239327734305,13,5,2,1,8,521,Potential Loyalists
C10325,8,772.4663569934097,280,1,2,3,6,123,Potential Loyalists
C10326,11,786.9700059737343,9,5,3,3,11,533,Loyal
C10327,8,601.6569804577803,34,4,2,2,8,422,Potential Loyalists
C10328,13,743.4763772067594,287,1,4,2,7,142,Potential Loyalists
C10329,12,1144.922722009252,78,2,4,4,10,244,At Risk
C10330,8,768.1871332672283,7,5,2,3,10,523,Potential Loyalists
C10331,8,739.6148877355963,123,1,2,2,5,122,Lost
C10332,13,1671.997960313557,5,5,4,5,14,545,Champions
C10333,8,867.5514710713996,68,2,2,3,7,223,Potential Loyalists
C10334,13,1267.9251506330872,2,5,4,4,13,544,Champions
C10335,14,1251.087379528338,109,2,5,4,11,254,At Risk
C10336,4,222.99294565029237,387,1,1,1,3,111,Lost
C10337,14,1253.341352686239,37,3,5,4,12,354,Loyal
C10338,8,908.6408831257701,10,5,2,3,10,523,Potential Loyalists
C10339,9,838.7830177376742,14,5,2,3,10,523,Potential Loyalists
C10340,5,311.04244064218415,88,2,1,1,4,211,Lost
C10341,11,1488.6304378730888,24,4,3,5,12,435,Loyal
C10342,11,1009.3633433913461,12,5,3,4,12,534,Loyal
C10343,7,1084.3905552512877,80,2,1,4,7,214,Potential Loyalists
C10344,13,562.1806647950552,2,5,4,2,11,542,Loyal
C10345,14,919.4933523188006,116,1,5,3,9,153,At Risk
C10346,5,326.7951932902574,257,1,1,1,3,111,Lost
C10347,8,421.380467586083,15,5,2,1,8,521,Potential Loyalists
C10348,6,239.85514658752174,84,2,1,1,4,211,Lost
C10349,12,836.835078682426,6,5,4,3,12,543,Loyal
C10350,8,1249.5312244841605,140,1,2,4,7,124,Potential Loyalists
C10351,11,1421.147948112635,27,4,3,5,12,435,Loyal
C10352,20,1525.8549353129129,5,5,5,5,15,555,Champions
C10353,13,1410.5857663563024,157,1,4,5,10,145,At Risk
C10354,11,1601.0990776867627,21,4,3,5,12,435,Loyal
C10355,7,734.9340662927457,229,1,1,2,4,112,Lost
C10356,9,2075.262522507211,59,3,2,5,10,325,Promising
C10357,9,996.0310348457776,58,3,2,4,9,324,Promising
C10358,20,2408.913254190158,16,5,5,5,15,555,Champions
C10359,7,529.1669180305514,19,4,1,1,6,411,Potential Loyalists
C10360,10,747.4546296301368,69,2,3,2,7,232,Potential Loyalists
C10361,11,1776.2821166064482,70,2,3,5,10,235,At Risk
C10362,11,944.4899523577782,26,4,3,3,10,433,Loyal
C10363,8,759.5525868298707,46,3,2,2,7,322,Potential Loyalists
C10364,8,764.2846903678103,84,2,2,2,6,222,Lost
C10365,7,425.07070608977665,168,1,1,1,3,111,Lost
C10366,12,856.2323780483786,6,5,4,3,12,543,Loyal
C10367,19,1943.4990031902441,27,4,5,5,14,455,Champions
C10368,15,2045.5313572851774,36,4,5,5,14,455,Champions
C10369,10,966.5492352069521,132,1,3,3,7,133,At Risk
C10370,5,286.8544826311786,191,1,1,1,3,111,Lost
C10371,13,1309.9257984115666,128,1,4,5,10,145,At Risk
C10372,12,933.5278013207962,76,2,4,3,9,243,At Risk
C10373,15,1743.1331922119962,24,4,5,5,14,455,Champions
C10374,10,911.4133774278486,4,5,3,3,11,533,Loyal
C10375,11,750.4174168854189,94,2,3,2,7,232,Potential Loyalists
C10376,10,1487.74737486226,76,2,3,5,10,235,At Risk
C10377,13,1039.9465768352484,19,4,4,4,12,444,Champions
C10378,6,363.3052201545148,34,4,1,1,6,411,Potential Loyalists
C10379,8,1367.4330303752477,237,1,2,5,8,125,Potential Loyalists
C10380,10,884.3259365606261,2,5,3,3,11,533,Loyal
C10381,8,1428.2715209299213,78,2,2,5,9,225,Loyal
C10382,11,949.3306220974255,156,1,3,3,7,133,At Risk
C10383,10,1195.3816483763621,19,4,3,4,11,434,Loyal
C10384,10,715.0262625104697,61,3,3,2,8,332,Loyal
C10385,7,1305.760255033833,101,2,1,5,8,215,Potential Loyalists
C10386,10,820.2430029046388,13,5,3,3,11,533,Loyal
C10387,15,1015.5392542570708,2,5,5,4,14,554,Champions
C10388,10,684.047467046543,14,5,3,2,10,532,Loyal
C10389,9,1161.7058437947185,76,2,2,4,8,224,Potential Loyalists
C10390,9,731.4112562361041,249,1,2,2,5,122,Lost
C10391,7,260.73650107882713,6,5,1,1,7,511,Potential Loyalists
C10392,7,815.8346434857714,91,2,1,3,6,213,Potential Loyalists
C10393,6,648.873830649138,78,2,1,2,5,212,Lost
C10394,10,912.1770488358426,79,2,3,3,8,233,At Risk
C10395,7,709.8736448921725,1,5,1,2,8,512,Potential Loyalists
C10396,7,1088.2148622323461,99,2,1,4,7,214,Potential Loyalists
C10397,10,596.999171928088,24,4,3,2,9,432,Loyal
C10398,11,1115.64811937239,41,3,3,4,10,334,Loyal
C10399,12,1277.9991924148765,131,1,4,5,10,145,At Risk
C10400,11,1376.0002522527627,47,3,3,5,11,335,Loyal
C10401,9,435.6362049985988,71,2,2,1,5,221,Lost
C10402,4,287.1361162629142,43,3,1,1,5,311,Lost
C10403,7,749.0330277286096,52,3,1,2,6,312,Potential Loyalists
C10404,14,1165.9621503871795,35,4,5,4,13,454,Champions
C10405,10,691.3757944897608,219,1,3,2,6,132,Potential Loyalists
C10406,7,561.3764502098851,94,2,1,2,5,212,Lost
C10407,11,1072.3223347229714,53,3,3,4,10,334,Loyal
C10408,9,968.2318174404902,183,1,2,3,6,123,Potential Loyalists
C10409,11,734.1216297674197,68,2,3,2,7,232,Potential Loyalists
C10410,14,784.3813592453238,32,4,5,3,12,453,Loyal
C10411,12,1302.0268595789,60,3,4,5,12,345,Loyal
C10412,13,1138.1856429197428,64,3,4,4,11,344,Loyal
C10413,7,377.3733580403186,44,3,1,1,5,311,Lost
C10414,8,735.1966758258039,3,5,2,2,9,522,Potential Loyalists
C10415,11,1237.4885709450707,159,1,3,4,8,134,At Risk
C10416,17,2108.6007381598383,18,4,5,5,14,455,Champions
C10417,17,1080.8275379329539,31,4,5,4,13,454,Champions
C10418,10,600.1476862705586,261,1,3,2,6,132,Potential Loyalists
C10419,8,690.4044040683636,12,5,2,2,9,522,Potential Loyalists
C10420,7,1118.0593290323648,68,2,1,4,7,214,Potential Loyalists
C10421,10,783.0366295639328,217,1,3,3,7,133,At Risk
C10422,12,674.6419660935335,95,2,4,2,8,242,Potential Loyalists
C10423,13,1119.4666562374005,107,2,4,4,10,244,At Risk
C10424,8,711.880619113903,167,1,2,2,5,122,Lost
C10425,11,659.8797898750825,221,1,3,2,6,132,Potential Loyalists
C10426,15,1731.063035273283,43,3,5,5,13,355,Loyal
C10427,10,762.0484499993365,67,2,3,2,7,232,Potential Loyalists
C10428,14,1560.1247158195054,63,3,5,5,13,355,Loyal
C10429,14,1633.9669081418772,74,2,5,5,12,255,At Risk
C10430,10,1389.26847078614,145,1,3,5,9,135,At Risk
C10431,10,736.0923007692417,2,5,3,2,10,532,Loyal
C10432,9,455.4741324735857,96,2,2,1,5,221,Lost
C10433,12,733.2180728419104,13,5,4,2,11,542,Loyal
