Customer ID,is_churned,total_orders,total_revenue,avg_order_value,total_items,unique_products,days_active,last_order_days,order_rate,avg_items_per_order,R_score,F_score,M_score,RFM_Score
C10026,0,8,779.466070091058,97.43325876138225,214,7,416,41,0.019230769230769232,26.75,5,2,3,10
C10027,0,5,329.59657118577695,65.91931423715539,126,5,395,61,0.012658227848101266,25.2,5,2,2,9
C10028,0,4,121.8827394898491,30.470684872462275,44,4,443,57,0.009029345372460496,11.0,1,1,2,4
C10029,0,3,132.08552478195526,44.028508260651755,46,2,350,51,0.008571428571428572,15.333333333333334,3,1,1,5
C10030,1,11,960.4402250196905,87.31274772906278,227,8,465,41,0.023655913978494623,20.636363636363637,1,3,3,7
C10031,0,6,971.1644050675386,161.8607341779231,241,6,376,101,0.015957446808510637,40.166666666666664,2,1,4,7
C10032,1,7,582.6227560391628,83.23182229130897,174,5,476,31,0.014705882352941176,24.857142857142858,1,1,2,4
C10033,0,8,560.7672827593688,70.0959103449211,176,6,389,44,0.02056555269922879,22.0,5,4,3,12
C10034,0,9,682.063042567165,75.78478250746278,229,8,426,26,0.02112676056338028,25.444444444444443,3,3,2,8
C10035,0,8,681.4556073542856,85.1819509192857,125,6,483,24,0.016563146997929608,15.625,4,4,4,12
C10036,0,6,660.3356944098011,110.0559490683002,164,5,342,167,0.017543859649122806,27.333333333333332,2,4,5,11
C10037,0,5,308.1393125110117,61.62786250220235,89,5,390,1,0.01282051282051282,17.8,5,3,2,10
C10038,0,6,739.6435909531494,123.27393182552491,159,5,398,144,0.01507537688442211,26.5,3,2,4,9
C10039,1,6,309.12171824772236,51.52028637462039,136,5,444,27,0.013513513513513514,22.666666666666668,1,1,1,3
C10040,0,7,641.0189711202407,91.57413873146297,155,7,418,119,0.01674641148325359,22.142857142857142,1,3,3,7
C10041,0,9,1072.4476726586538,119.1608525176282,269,8,485,60,0.018556701030927835,29.88888888888889,3,4,4,11
C10042,0,11,1618.3667977585906,147.12425434169006,314,8,417,5,0.026378896882494004,28.545454545454547,2,5,5,12
C10043,0,10,971.920117892134,97.19201178921341,247,8,428,99,0.02336448598130841,24.7,4,4,4,12
C10044,0,11,1086.6303903697174,98.78458094270158,254,9,348,81,0.031609195402298854,23.09090909090909,3,5,5,13
C10045,0,12,1383.8432799707327,115.3202733308944,368,10,379,33,0.0316622691292876,30.666666666666668,3,5,5,13
C10046,0,8,418.5356646052053,52.31695807565066,221,5,451,81,0.017738359201773836,27.625,4,3,2,9
C10047,0,5,766.6934068974356,153.33868137948713,134,5,368,30,0.01358695652173913,26.8,2,1,3,6
C10048,0,4,97.92039381473575,24.480098453683937,48,3,172,148,0.023255813953488372,12.0,4,1,1,6
C10049,0,5,409.5300031721667,81.90600063443334,118,5,230,165,0.021739130434782608,23.6,1,1,1,3
C10050,0,6,563.8012210721565,93.96687017869276,158,5,354,5,0.01694915254237288,26.333333333333332,4,2,3,9
C10051,0,7,681.4269392164027,97.34670560234325,176,5,384,150,0.018229166666666668,25.142857142857142,2,4,4,10
C10052,0,5,652.5814533065894,130.5162906613179,112,4,403,71,0.01240694789081886,22.4,3,1,4,8
C10053,0,11,1130.5376900789404,102.77615364354004,322,8,518,1,0.021235521235521235,29.272727272727273,2,4,4,10
C10054,0,10,1553.1155692043167,155.31155692043166,298,9,465,38,0.021505376344086023,29.8,2,4,5,11
C10055,0,8,681.5531267832815,85.19414084791019,242,6,473,28,0.016913319238900635,30.25,5,5,4,14
C10056,0,9,1007.0460265575565,111.8940029508396,239,7,366,158,0.02459016393442623,26.555555555555557,2,3,4,9
C10057,0,4,345.91458829930957,86.47864707482739,146,3,375,138,0.010666666666666666,36.5,4,2,3,9
C10058,0,8,556.7992822669843,69.59991028337303,241,6,446,91,0.017937219730941704,30.125,4,4,4,12
C10059,0,5,146.05147004561107,29.210294009122215,57,5,451,77,0.011086474501108648,11.4,4,1,1,6
C10060,0,12,1208.665860210032,100.72215501750266,330,9,515,24,0.02330097087378641,27.5,3,5,5,13
C10061,0,5,405.1543489842312,81.03086979684625,83,5,472,51,0.01059322033898305,16.6,3,1,3,7
C10062,0,8,693.2112946376822,86.65141182971027,219,6,509,6,0.015717092337917484,27.375,3,2,2,7
C10063,0,7,840.373765090736,120.05339501296228,221,6,295,160,0.023728813559322035,31.571428571428573,5,5,5,15
C10064,0,9,822.0443588230712,91.33826209145235,232,7,500,3,0.018,25.77777777777778,3,4,4,11
C10065,1,10,499.19455434825295,49.919455434825295,143,7,395,140,0.02531645569620253,14.3,1,3,1,5
C10066,0,6,406.9852781205968,67.83087968676612,177,5,400,60,0.015,29.5,3,3,2,8
C10067,0,6,347.0724837276121,57.845413954602016,219,5,334,35,0.017964071856287425,36.5,4,2,1,7
C10068,0,7,869.1129699209217,124.15899570298882,203,6,509,12,0.0137524557956778,29.0,2,1,3,6
C10069,0,9,1087.7816480355891,120.8646275595099,226,5,423,112,0.02127659574468085,25.11111111111111,2,5,5,12
C10070,0,5,375.49675685649254,75.09935137129851,124,4,484,25,0.010330578512396695,24.8,4,1,1,6
C10071,0,4,330.05197150129413,82.51299287532353,156,4,137,151,0.029197080291970802,39.0,1,1,1,3
C10072,0,7,607.4620158169141,86.78028797384488,152,6,273,89,0.02564102564102564,21.714285714285715,1,1,2,4
C10073,0,12,1418.9893303273402,118.24911086061168,291,8,421,108,0.028503562945368172,24.25,3,5,5,13
C10074,1,6,923.1529327846622,153.85882213077704,170,4,492,2,0.012195121951219513,28.333333333333332,1,1,3,5
C10075,0,5,217.4234392278898,43.48468784557796,101,4,235,66,0.02127659574468085,20.2,1,1,1,3
C10076,1,9,1042.326987410365,115.81410971226279,277,6,486,6,0.018518518518518517,30.77777777777778,1,2,4,7
C10077,0,8,489.268345596524,61.1585431995655,187,8,437,28,0.018306636155606407,23.375,4,3,5,12
C10078,0,2,189.29536571494,94.64768285747,74,2,488,41,0.004098360655737705,37.0,2,1,1,4
C10079,0,5,638.874875012522,127.7749750025044,191,4,280,130,0.017857142857142856,38.2,3,2,3,8
C10080,0,6,731.783056197496,121.96384269958266,138,5,299,216,0.020066889632107024,23.0,5,1,3,9
C10081,0,4,950.2772142952304,237.5693035738076,117,4,346,145,0.011560693641618497,29.25,5,1,4,10
C10082,0,6,381.7046025199088,63.61743375331813,117,4,444,58,0.013513513513513514,19.5,4,1,1,6
C10083,0,7,997.3188055468606,142.47411507812294,188,7,422,19,0.016587677725118485,26.857142857142858,2,1,4,7
C10084,0,11,1002.9557096446449,91.1777917858768,289,9,461,48,0.02386117136659436,26.272727272727273,2,5,4,11
C10085,0,6,404.86007299109923,67.47667883184987,132,6,352,64,0.017045454545454544,22.0,4,3,3,10
C10086,1,6,432.34533141125274,72.0575552352088,155,5,274,217,0.021897810218978103,25.833333333333332,1,1,1,3
C10087,0,5,184.64824638299666,36.929649276599335,77,5,426,81,0.011737089201877934,15.4,4,1,1,6
C10088,1,8,612.7523395130358,76.59404243912948,242,7,403,12,0.019851116625310174,30.25,1,1,2,4
C10089,0,9,662.2342862717812,73.58158736353124,186,9,418,100,0.0215311004784689,20.666666666666668,2,3,2,7
C10090,0,11,1445.5902730716489,131.4172975519681,278,7,521,19,0.02111324376199616,25.272727272727273,4,4,5,13
C10091,0,8,818.1815645104185,102.27269556380232,199,5,365,24,0.021917808219178082,24.875,3,2,4,9
C10092,0,7,662.7335768390515,94.67622526272164,193,6,434,61,0.016129032258064516,27.571428571428573,5,3,2,10
C10093,0,7,968.1541115556215,138.30773022223164,214,4,378,38,0.018518518518518517,30.571428571428573,4,2,4,10
C10094,0,6,502.1641702116321,83.69402836860534,176,6,435,46,0.013793103448275862,29.333333333333332,2,1,2,5
C10095,0,8,874.5690606887746,109.32113258609682,197,7,525,1,0.015238095238095238,24.625,1,2,5,8
C10096,1,11,668.7244490253136,60.79313172957396,235,8,494,43,0.022267206477732792,21.363636363636363,1,3,2,6
C10097,1,7,677.1949498808407,96.74213569726295,191,6,339,21,0.02064896755162242,27.285714285714285,1,1,2,4
C10098,0,4,356.29818264880623,89.07454566220156,54,4,410,85,0.00975609756097561,13.5,4,1,2,7
C10099,0,8,439.1911652494654,54.89889565618318,193,6,503,24,0.015904572564612324,24.125,1,2,2,5
C10100,0,9,559.4449963552281,62.160555150580905,215,8,449,93,0.0200445434298441,23.88888888888889,3,3,2,8
C10101,0,5,421.2397329274058,84.24794658548116,128,4,435,19,0.011494252873563218,25.6,5,1,1,7
C10102,0,7,355.9184919669805,50.84549885242579,164,6,334,68,0.020958083832335328,23.428571428571427,5,3,2,10
C10103,0,10,631.870832013291,63.187083201329095,214,8,308,156,0.032467532467532464,21.4,5,4,3,12
C10104,0,8,498.84232965742,62.3552912071775,157,7,482,38,0.016597510373443983,19.625,2,2,1,5
C10105,0,10,1007.6674504601249,100.76674504601249,224,6,447,96,0.02237136465324385,22.4,2,4,4,10
C10106,1,7,528.4457596558266,75.4922513794038,181,5,410,61,0.01707317073170732,25.857142857142858,1,1,1,3
C10107,0,4,700.1362548989187,175.03406372472966,136,4,330,72,0.012121212121212121,34.0,5,3,3,11
C10108,0,3,249.2530109585391,83.08433698617971,101,3,368,24,0.008152173913043478,33.666666666666664,5,1,1,7
C10109,0,14,1705.319871452661,121.80856224661864,357,11,439,58,0.03189066059225513,25.5,5,5,5,15
C10110,0,12,1263.6079565529583,105.30066304607986,382,9,543,2,0.022099447513812154,31.833333333333332,2,5,5,12
C10111,0,8,883.783220651424,110.472902581428,165,5,524,20,0.015267175572519083,20.625,5,4,4,13
C10112,0,5,197.92146633162432,39.58429326632486,77,4,391,3,0.01278772378516624,15.4,1,1,1,3
C10113,0,8,443.58238265512,55.44779783189,186,6,281,203,0.028469750889679714,23.25,4,5,5,14
C10114,0,3,180.22626142623807,60.07542047541269,88,3,164,84,0.018292682926829267,29.333333333333332,3,1,1,5
C10115,0,4,149.36082225290528,37.34020556322632,77,4,219,75,0.0182648401826484,19.25,2,1,2,5
C10116,1,7,620.0763026369862,88.58232894814088,139,6,488,19,0.014344262295081968,19.857142857142858,1,1,2,4
C10117,1,7,207.00302931775514,29.571861331107876,122,4,295,151,0.023728813559322035,17.428571428571427,1,1,1,3
C10118,0,7,607.2896196778462,86.75565995397803,157,7,492,9,0.014227642276422764,22.428571428571427,2,1,2,5
C10119,0,5,118.59342908305729,23.71868581661146,52,4,281,16,0.017793594306049824,10.4,2,1,1,4
C10120,0,5,615.7050346920594,123.14100693841188,182,3,319,53,0.01567398119122257,36.4,5,4,4,13
C10121,0,4,175.3552088967974,43.83880222419935,101,3,298,144,0.013422818791946308,25.25,3,1,1,5
C10122,0,7,303.4522531071107,43.35032187244439,144,7,402,42,0.017412935323383085,20.571428571428573,1,1,1,3
C10123,0,9,1000.8591363569356,111.20657070632618,256,8,475,31,0.018947368421052633,28.444444444444443,5,4,4,13
C10124,0,10,568.1249631309084,56.81249631309085,308,8,497,43,0.02012072434607646,30.8,3,4,3,10
C10125,0,7,337.43038267328,48.20434038189715,142,5,462,58,0.015151515151515152,20.285714285714285,5,2,1,8
C10126,0,11,1320.9282222794543,120.08438384358675,323,7,479,59,0.022964509394572025,29.363636363636363,4,5,5,14
C10127,0,10,862.8875202677585,86.28875202677585,250,8,474,56,0.02109704641350211,25.0,4,5,4,13
C10128,0,9,753.3719673600746,83.70799637334162,237,7,413,38,0.021791767554479417,26.333333333333332,1,3,3,7
C10129,0,11,1753.717357349461,159.4288506681328,352,9,456,47,0.02412280701754386,32.0,5,5,5,15
C10130,0,11,1997.9579945671885,181.6325449606535,354,6,516,1,0.02131782945736434,32.18181818181818,2,4,5,11
C10131,0,5,597.0728096864156,119.41456193728311,140,5,409,83,0.012224938875305624,28.0,2,1,3,6
C10132,0,8,1211.4718809825347,151.43398512281684,273,7,526,19,0.015209125475285171,34.125,5,3,5,13
C10133,0,17,1883.9794583376738,110.8223210786867,531,11,497,16,0.03420523138832998,31.235294117647058,4,5,5,14
C10134,0,6,452.6244891366063,75.43741485610106,137,4,402,97,0.014925373134328358,22.833333333333332,4,1,2,7
C10135,0,8,849.0821213538858,106.13526516923572,247,7,494,35,0.016194331983805668,30.875,2,5,5,12
C10136,0,8,514.9608938552544,64.3701117319068,192,7,400,70,0.02,24.0,4,3,2,9
C10137,0,5,669.9292830447407,133.98585660894815,133,5,365,41,0.0136986301369863,26.6,4,1,3,8
C10138,0,9,586.4216659206761,65.15796288007512,211,7,478,54,0.01882845188284519,23.444444444444443,3,4,2,9
C10139,0,5,243.76333306819237,48.752666613638475,83,5,428,76,0.011682242990654205,16.6,2,1,2,5
C10140,0,9,251.3009971128269,27.922333012536324,181,5,468,15,0.019230769230769232,20.11111111111111,2,3,1,6
C10141,0,9,1052.2155753446168,116.91284170495743,225,8,472,10,0.019067796610169493,25.0,3,4,4,11
C10142,1,10,638.6287389073893,63.86287389073893,217,6,508,27,0.01968503937007874,21.7,1,3,2,6
C10143,0,2,53.59898960900425,26.799494804502125,17,2,348,136,0.005747126436781609,8.5,5,1,1,7
C10144,0,7,433.9908984396962,61.99869977709945,189,7,426,117,0.01643192488262911,27.0,2,3,2,7
C10145,0,5,386.9971667316496,77.39943334632991,75,4,249,56,0.020080321285140562,15.0,5,2,1,8
C10146,0,6,415.33242162837564,69.22207027139594,111,5,423,95,0.014184397163120567,18.5,1,1,1,3
C10147,0,5,379.14684572015653,75.8293691440313,125,5,472,65,0.01059322033898305,25.0,3,2,2,7
C10148,0,8,674.2713166648347,84.28391458310433,252,7,468,5,0.017094017094017096,31.5,5,3,3,11
C10149,0,12,968.2235263840162,80.68529386533469,224,9,504,7,0.023809523809523808,18.666666666666668,4,5,4,13
C10150,0,11,650.017967583132,59.092542507557454,250,9,479,14,0.022964509394572025,22.727272727272727,3,5,4,12
C10151,0,5,278.82440272400925,55.76488054480185,125,5,429,59,0.011655011655011656,25.0,3,2,1,6
C10152,0,14,1572.1234848117813,112.29453462941295,407,10,497,27,0.028169014084507043,29.071428571428573,5,5,5,15
C10153,0,10,1506.1838548215358,150.61838548215357,336,7,417,125,0.023980815347721823,33.6,5,4,5,14
C10154,0,4,301.26961758585935,75.31740439646484,110,3,372,122,0.010752688172043012,27.5,5,3,3,11
C10155,0,9,980.4441707193529,108.93824119103921,226,7,434,81,0.020737327188940093,25.11111111111111,2,4,5,11
C10156,0,7,633.2651518314294,90.46645026163277,231,4,474,41,0.014767932489451477,33.0,4,2,4,10
C10157,0,9,433.60928342809353,48.17880926978817,182,7,351,111,0.02564102564102564,20.22222222222222,3,3,1,7
C10158,0,4,113.490059341322,28.3725148353305,84,3,100,1,0.04,21.0,2,1,1,4
C10159,0,7,464.4053398958721,66.34361998512459,147,6,483,5,0.014492753623188406,21.0,5,3,1,9
C10160,0,6,451.12067175143454,75.18677862523909,152,4,497,10,0.012072434607645875,25.333333333333332,4,2,2,8
C10161,0,13,1285.7582572108156,98.9044813239089,400,8,477,67,0.027253668763102725,30.76923076923077,2,5,5,12
C10162,0,5,448.98664698233137,89.79732939646627,144,5,318,109,0.015723270440251572,28.8,5,2,3,10
C10163,0,7,806.5690536462897,115.22415052089853,201,6,428,107,0.016355140186915886,28.714285714285715,3,2,3,8
C10164,0,10,821.4524874956414,82.14524874956415,267,9,399,19,0.02506265664160401,26.7,4,5,4,13
C10165,0,10,1024.204253063884,102.4204253063884,279,9,407,45,0.02457002457002457,27.9,3,4,5,12
C10166,0,12,1034.9317838133977,86.24431531778315,275,8,494,10,0.024291497975708502,22.916666666666668,2,5,4,11
C10167,0,11,1327.7126319254623,120.70114835686022,322,8,451,87,0.024390243902439025,29.272727272727273,5,5,5,15
C10168,0,5,432.936589057391,86.5873178114782,183,4,371,99,0.013477088948787063,36.6,3,2,4,9
C10169,0,12,857.8914921647108,71.49095768039257,297,8,475,61,0.02526315789473684,24.75,4,5,3,12
C10170,0,9,770.7504030281242,85.63893366979158,240,7,485,53,0.018556701030927835,26.666666666666668,5,4,4,13
C10171,0,11,669.7559318366849,60.88690289424408,226,8,495,1,0.022222222222222223,20.545454545454547,5,5,4,14
C10172,0,4,575.0442996384602,143.76107490961505,144,3,186,166,0.021505376344086023,36.0,5,2,5,12
C10173,1,4,237.06456795740897,59.26614198935224,105,4,274,0,0.014598540145985401,26.25,1,1,1,3
C10174,0,10,805.993322596879,80.5993322596879,249,8,528,0,0.01893939393939394,24.9,1,5,5,11
C10175,0,6,408.9533577416845,68.15889295694741,196,5,395,53,0.015189873417721518,32.666666666666664,2,2,1,5
C10176,0,6,187.91542526976963,31.319237544961606,136,5,399,68,0.015037593984962405,22.666666666666668,3,3,3,9
C10177,0,5,698.4643880231672,139.69287760463345,151,4,505,28,0.009900990099009901,30.2,2,1,3,6
C10178,1,4,445.30064344216953,111.32516086054238,147,4,267,211,0.0149812734082397,36.75,1,1,1,3
C10179,0,8,461.9710769059752,57.7463846132469,208,5,476,44,0.01680672268907563,26.0,5,3,4,12
C10180,0,6,634.3353428876804,105.72255714794674,139,6,414,126,0.014492753623188406,23.166666666666668,3,3,3,9
C10181,0,6,378.8370417527307,63.13950695878845,189,5,305,233,0.019672131147540985,31.5,4,2,2,8
C10182,0,4,1122.0125266095174,280.50313165237935,125,3,502,18,0.00796812749003984,31.25,2,2,5,9
C10183,1,7,439.36941944640114,62.76705992091445,149,5,460,38,0.015217391304347827,21.285714285714285,1,1,1,3
C10184,0,7,406.28386856989266,58.04055265284181,147,7,449,0,0.015590200445434299,21.0,3,3,2,8
C10185,0,12,1152.725351436712,96.06044595305933,278,7,456,27,0.02631578947368421,23.166666666666668,2,4,4,10
C10186,0,4,258.1212037840411,64.53030094601027,105,4,377,0,0.010610079575596816,26.25,1,1,1,3
C10187,0,10,976.1411096605293,97.61411096605293,221,8,482,18,0.02074688796680498,22.1,5,3,4,12
C10188,0,11,675.5686561623971,61.41533237839974,185,8,474,48,0.023206751054852322,16.818181818181817,5,5,5,15
C10189,0,6,427.04722486513447,71.1745374775224,138,6,298,162,0.020134228187919462,23.0,1,1,1,3
C10190,0,14,1224.657190837229,87.47551363123065,333,8,332,112,0.04216867469879518,23.785714285714285,3,5,5,13
C10191,1,7,358.2003852067262,51.17148360096088,156,5,346,15,0.02023121387283237,22.285714285714285,1,1,1,3
C10192,0,9,519.94999164534,57.77222129392666,254,6,504,9,0.017857142857142856,28.22222222222222,4,4,3,11
C10193,0,9,1328.952018030388,147.66133533670978,205,8,265,211,0.033962264150943396,22.77777777777778,1,4,5,10
C10194,0,8,814.2381826869847,101.77977283587309,179,8,520,4,0.015384615384615385,22.375,3,5,4,12
C10195,0,4,311.93282600670074,77.98320650167518,75,4,39,353,0.10256410256410256,18.75,2,2,1,5
C10196,0,6,589.1474098795234,98.19123497992057,141,6,377,36,0.015915119363395226,23.5,1,1,2,4
C10197,0,9,527.3135380954143,58.5903931217127,249,5,411,82,0.021897810218978103,27.666666666666668,2,3,2,7
C10198,0,11,957.0560315955929,87.00509378141754,329,9,416,40,0.026442307692307692,29.90909090909091,5,4,4,13
C10199,1,6,386.6757506358786,64.4459584393131,150,6,187,73,0.03208556149732621,25.0,1,1,1,3
C10200,0,17,1300.0234160423418,76.47196564954952,399,13,533,6,0.03189493433395872,23.470588235294116,5,5,5,15
C10201,0,8,459.15793264021954,57.39474158002744,192,6,396,46,0.020202020202020204,24.0,2,2,2,6
C10202,0,7,597.1229802890682,85.30328289843831,165,6,508,18,0.013779527559055118,23.571428571428573,4,4,3,11
C10203,0,6,807.6669602007466,134.61116003345776,138,4,217,210,0.027649769585253458,23.0,3,3,5,11
C10204,0,3,582.9264766701668,194.30882555672227,75,3,189,40,0.015873015873015872,25.0,2,1,3,6
C10205,0,6,537.4488073967103,89.57480123278505,148,5,452,85,0.01327433628318584,24.666666666666668,2,2,3,7
C10206,1,7,613.387980198765,87.6268543141093,221,6,418,57,0.01674641148325359,31.571428571428573,1,1,2,4
C10207,0,4,151.66463460959906,37.916158652399766,69,3,439,101,0.009111617312072893,17.25,3,2,1,6
C10208,0,10,1105.523097582952,110.5523097582952,243,8,458,18,0.021834061135371178,24.3,2,3,5,10
C10209,0,3,174.58728982705986,58.19576327568662,84,3,220,247,0.013636363636363636,28.0,1,1,1,3
C10210,0,10,1501.3155948295228,150.13155948295227,279,5,508,33,0.01968503937007874,27.9,3,3,5,11
C10211,0,8,1127.927494408564,140.9909368010705,263,7,423,45,0.018912529550827423,32.875,5,3,4,12
C10212,0,9,533.703553545549,59.30039483839433,227,7,356,115,0.025280898876404494,25.22222222222222,5,4,3,12
C10213,0,9,856.537035243287,95.17078169369856,182,7,471,23,0.01910828025477707,20.22222222222222,2,5,5,12
C10214,0,6,540.6398872967912,90.10664788279854,169,5,168,141,0.03571428571428571,28.166666666666668,4,3,4,11
C10215,0,6,349.57723160888014,58.262871934813354,145,4,441,19,0.013605442176870748,24.166666666666668,2,2,2,6
C10216,0,14,1624.5689234083443,116.04063738631031,243,8,459,8,0.030501089324618737,17.357142857142858,1,5,5,11
C10217,0,11,763.4371326784226,69.40337569803842,224,8,518,3,0.021235521235521235,20.363636363636363,4,5,4,13
C10218,0,6,479.8178231415478,79.96963719025797,98,4,255,113,0.023529411764705882,16.333333333333332,5,3,4,12
C10219,0,9,776.8891868699368,86.32102076332632,213,7,470,72,0.019148936170212766,23.666666666666668,3,4,4,11
C10220,1,4,267.5028189402589,66.87570473506473,113,4,524,1,0.007633587786259542,28.25,1,1,1,3
C10221,0,8,456.2211612245284,57.02764515306605,130,6,254,144,0.031496062992125984,16.25,2,4,4,10
C10222,0,10,927.289641248784,92.7289641248784,243,9,498,25,0.020080321285140562,24.3,3,5,5,13
C10223,0,9,514.9356444293803,57.21507160326448,260,5,541,0,0.0166358595194085,28.88888888888889,5,4,4,13
C10224,0,9,538.7783196796898,59.86425774218776,181,7,455,6,0.01978021978021978,20.11111111111111,4,4,4,12
C10225,0,6,434.9071026371403,72.48451710619005,170,4,379,20,0.0158311345646438,28.333333333333332,3,3,3,9
C10226,0,7,481.76614398397265,68.82373485485324,167,7,466,24,0.015021459227467811,23.857142857142858,1,2,1,4
C10227,0,6,535.6309280395266,89.27182133992109,175,5,522,1,0.011494252873563218,29.166666666666668,3,4,5,12
C10228,0,7,1506.8543048281804,215.26490068974005,231,5,495,36,0.014141414141414142,33.0,3,2,5,10
C10229,0,8,669.7631640954918,83.72039551193647,245,7,498,34,0.01606425702811245,30.625,3,2,3,8
C10230,0,6,869.7414219733273,144.9569036622212,127,4,255,82,0.023529411764705882,21.166666666666668,4,3,4,11
C10231,0,8,478.0080666872631,59.75100833590789,196,6,350,2,0.022857142857142857,24.5,5,5,4,14
C10232,0,6,582.9555463607539,97.15925772679232,218,6,399,69,0.015037593984962405,36.333333333333336,4,4,4,12
C10233,0,8,527.9026471200823,65.98783089001029,172,6,471,33,0.016985138004246284,21.5,3,3,3,9
C10234,0,9,659.0833989507461,73.23148877230511,236,8,481,51,0.018711018711018712,26.22222222222222,4,3,2,9
C10235,0,7,442.660846976395,63.23726385377072,175,6,446,42,0.01569506726457399,25.0,2,4,2,8
C10236,0,6,418.7034884989524,69.7839147498254,106,5,355,73,0.016901408450704224,17.666666666666668,4,4,4,12
C10237,0,6,892.5743377935866,148.76238963226442,165,5,227,169,0.02643171806167401,27.5,4,3,4,11
C10238,0,6,753.0790881113222,125.51318135188704,183,5,484,9,0.012396694214876033,30.5,3,3,4,10
C10239,0,5,355.0466650931505,71.0093330186301,110,5,492,20,0.01016260162601626,22.0,2,1,1,4
C10240,0,5,384.7980170369385,76.9596034073877,201,4,384,5,0.013020833333333334,40.2,5,2,1,8
C10241,0,6,410.13495300272643,68.3558255004544,155,5,405,69,0.014814814814814815,25.833333333333332,3,2,1,6
C10242,0,6,173.36828014412123,28.894713357353538,124,6,445,17,0.01348314606741573,20.666666666666668,4,2,1,7
C10243,0,10,1027.7151732780376,102.77151732780376,280,8,364,18,0.027472527472527472,28.0,2,5,5,12
C10244,0,7,854.5072173708969,122.07245962441384,149,5,533,10,0.013133208255159476,21.285714285714285,1,2,4,7
C10245,0,7,673.9374220795144,96.27677458278777,211,7,418,75,0.01674641148325359,30.142857142857142,3,2,2,7
C10246,0,6,1037.3360378222321,172.8893396370387,163,6,368,169,0.016304347826086956,27.166666666666668,2,1,5,8
C10247,0,9,913.1242464734528,101.45824960816142,277,9,389,74,0.02313624678663239,30.77777777777778,4,4,4,12
C10248,0,6,911.9210276635108,151.98683794391846,157,6,517,7,0.01160541586073501,26.166666666666668,2,2,5,9
C10249,0,9,241.98460914578538,26.887178793976155,64,7,505,23,0.01782178217821782,7.111111111111111,4,3,2,9
C10250,0,9,793.9669969705327,88.21855521894808,266,7,462,61,0.01948051948051948,29.555555555555557,2,4,5,11
C10251,0,9,818.8336684448785,90.98151871609761,239,7,481,9,0.018711018711018712,26.555555555555557,2,3,3,8
